time,amps
02/01/19 03:43:30 PM,37.7661
02/01/19 03:43:33 PM,
02/01/19 03:44:30 PM,37.9416
02/01/19 03:44:33 PM,
02/01/19 03:45:30 PM,37.9339
02/01/19 03:45:33 PM,
02/01/19 03:46:30 PM,37.7752
02/01/19 03:46:33 PM,
02/01/19 03:47:30 PM,37.8515
02/01/19 03:47:33 PM,
02/01/19 03:48:30 PM,37.7371
02/01/19 03:48:33 PM,
02/01/19 03:49:30 PM,37.7264
02/01/19 03:49:33 PM,
02/01/19 03:50:30 PM,37.911
02/01/19 03:50:33 PM,
02/01/19 03:51:30 PM,37.6455
02/01/19 03:51:33 PM,
02/01/19 03:52:30 PM,37.9477
02/01/19 03:52:33 PM,
02/01/19 03:53:30 PM,37.7935
02/01/19 03:53:33 PM,
02/01/19 03:54:30 PM,37.7417
02/01/19 03:54:33 PM,
02/01/19 03:55:30 PM,37.995
02/01/19 03:55:33 PM,
02/01/19 03:56:30 PM,37.8988
02/01/19 03:56:33 PM,
02/01/19 03:57:30 PM,0.0275
02/01/19 03:57:33 PM,
02/01/19 03:58:30 PM,0.0275
02/01/19 03:58:33 PM,
02/01/19 03:59:30 PM,0.0275
02/01/19 03:59:33 PM,
02/01/19 04:00:30 PM,0.0275
02/01/19 04:00:33 PM,
02/01/19 04:01:30 PM,0.0275
02/01/19 04:01:33 PM,
02/01/19 04:02:30 PM,0.0275
02/01/19 04:02:33 PM,
02/01/19 04:03:30 PM,0.0275
02/01/19 04:03:33 PM,
02/01/19 04:04:30 PM,0.0275
02/01/19 04:04:33 PM,
02/01/19 04:05:30 PM,0.0275
02/01/19 04:05:33 PM,
02/01/19 04:06:30 PM,40.0565
02/01/19 04:06:33 PM,
02/01/19 04:07:30 PM,37.7234
02/01/19 04:07:33 PM,
02/01/19 04:08:30 PM,37.7096
02/01/19 04:08:33 PM,
02/01/19 04:09:30 PM,37.705
02/01/19 04:09:33 PM,
02/01/19 04:10:30 PM,37.6928
02/01/19 04:10:33 PM,
02/01/19 04:11:30 PM,37.7737
02/01/19 04:11:33 PM,
02/01/19 04:12:30 PM,37.673
02/01/19 04:12:33 PM,
02/01/19 04:13:30 PM,38.1064
02/01/19 04:13:33 PM,
02/01/19 04:14:30 PM,37.7768
02/01/19 04:14:33 PM,
02/01/19 04:15:30 PM,37.8515
02/01/19 04:15:33 PM,
02/01/19 04:16:30 PM,37.763
02/01/19 04:16:33 PM,
02/01/19 04:17:30 PM,38.0423
02/01/19 04:17:33 PM,
02/01/19 04:18:30 PM,37.8317
02/01/19 04:18:33 PM,
02/01/19 04:19:30 PM,37.9004
02/01/19 04:19:33 PM,
02/01/19 04:20:30 PM,37.8119
02/01/19 04:20:33 PM,
02/01/19 04:21:30 PM,37.9843
02/01/19 04:21:33 PM,
02/01/19 04:22:30 PM,37.882
02/01/19 04:22:33 PM,
02/01/19 04:23:30 PM,37.8378
02/01/19 04:23:33 PM,
02/01/19 04:24:30 PM,37.8164
02/01/19 04:24:33 PM,
02/01/19 04:25:30 PM,37.8119
02/01/19 04:25:33 PM,
02/01/19 04:26:30 PM,37.789
02/01/19 04:26:33 PM,
02/01/19 04:27:30 PM,38.1491
02/01/19 04:27:33 PM,
02/01/19 04:28:30 PM,37.6944
02/01/19 04:28:33 PM,
02/01/19 04:29:30 PM,37.9187
02/01/19 04:29:33 PM,
02/01/19 04:30:30 PM,37.7905
02/01/19 04:30:33 PM,
02/01/19 04:31:30 PM,37.7661
