,time,amps
637,02/01/19 05:26:30 PM,37.7035
639,02/01/19 05:27:30 PM,37.6043
641,02/01/19 05:28:30 PM,37.6898
643,02/01/19 05:29:30 PM,37.3037
645,02/01/19 05:30:30 PM,37.8058
647,02/01/19 05:31:30 PM,37.409
649,02/01/19 05:32:30 PM,37.5448
651,02/01/19 05:33:30 PM,37.5967
653,02/01/19 05:34:30 PM,37.6867
655,02/01/19 05:35:30 PM,37.6364
657,02/01/19 05:36:30 PM,37.6822
659,02/01/19 05:37:30 PM,37.7035
661,02/01/19 05:38:30 PM,37.7371
663,02/01/19 05:39:30 PM,37.7249
665,02/01/19 05:40:30 PM,37.6776
667,02/01/19 05:41:30 PM,37.5006
669,02/01/19 05:42:30 PM,37.5769
671,02/01/19 05:43:30 PM,37.4136
673,02/01/19 05:44:30 PM,37.4823
675,02/01/19 05:45:30 PM,37.5616
677,02/01/19 05:46:30 PM,37.7844
679,02/01/19 05:47:30 PM,37.5494
681,02/01/19 05:48:30 PM,37.6699
683,02/01/19 05:49:30 PM,37.7142
685,02/01/19 05:50:30 PM,37.5937
687,02/01/19 05:51:30 PM,37.6455
689,02/01/19 05:52:30 PM,37.4594
691,02/01/19 05:53:30 PM,37.5067
693,02/01/19 05:54:30 PM,37.6196
695,02/01/19 05:55:30 PM,37.6883
697,02/01/19 05:56:30 PM,37.5051
699,02/01/19 05:57:30 PM,0.0259
701,02/01/19 05:58:30 PM,0.0259
703,02/01/19 05:59:30 PM,0.0259
705,02/01/19 06:00:30 PM,0.0259
707,02/01/19 06:01:30 PM,0.0259
709,02/01/19 06:02:30 PM,0.0259
711,02/01/19 06:03:30 PM,0.0259
713,02/01/19 06:04:30 PM,0.0259
715,02/01/19 06:05:30 PM,0.0259
717,02/01/19 06:06:30 PM,39.0066
719,02/01/19 06:07:30 PM,37.2168
721,02/01/19 06:08:30 PM,37.5982
723,02/01/19 06:09:30 PM,37.5219
725,02/01/19 06:10:30 PM,37.6226
727,02/01/19 06:11:30 PM,37.5692
729,02/01/19 06:12:30 PM,37.5326
731,02/01/19 06:13:30 PM,37.2778
733,02/01/19 06:14:30 PM,37.3663
735,02/01/19 06:15:30 PM,37.5051
737,02/01/19 06:16:30 PM,37.4884
739,02/01/19 06:17:30 PM,37.4212
741,02/01/19 06:18:30 PM,37.5021
743,02/01/19 06:19:30 PM,37.2396
745,02/01/19 06:20:30 PM,37.4975
747,02/01/19 06:21:30 PM,37.3266
749,02/01/19 06:22:30 PM,37.113
751,02/01/19 06:23:30 PM,37.3938
753,02/01/19 06:24:30 PM,37.4395
755,02/01/19 06:25:30 PM,37.258
757,02/01/19 06:26:30 PM,37.5158
759,02/01/19 06:27:30 PM,37.2656
761,02/01/19 06:28:30 PM,37.3419
763,02/01/19 06:29:30 PM,37.3007
765,02/01/19 06:30:30 PM,37.2641
767,02/01/19 06:31:30 PM,37.3556
769,02/01/19 06:32:30 PM,37.5235
771,02/01/19 06:33:30 PM,37.3281
773,02/01/19 06:34:30 PM,37.3327
775,02/01/19 06:35:30 PM,37.6226
777,02/01/19 06:36:30 PM,37.5448
779,02/01/19 06:37:30 PM,37.4121
781,02/01/19 06:38:30 PM,37.4853
783,02/01/19 06:39:30 PM,37.4136
785,02/01/19 06:40:30 PM,37.4151
787,02/01/19 06:41:30 PM,37.5128
789,02/01/19 06:42:30 PM,37.4472
791,02/01/19 06:43:30 PM,37.4456
793,02/01/19 06:44:30 PM,37.3938
795,02/01/19 06:45:30 PM,37.4731
797,02/01/19 06:46:30 PM,37.4121
799,02/01/19 06:47:30 PM,37.376999999999995
801,02/01/19 06:48:30 PM,37.3968
803,02/01/19 06:49:30 PM,37.4166
805,02/01/19 06:50:30 PM,37.5311
807,02/01/19 06:51:30 PM,37.1588
809,02/01/19 06:52:30 PM,37.4166
811,02/01/19 06:53:30 PM,37.3617
813,02/01/19 06:54:30 PM,37.5967
815,02/01/19 06:55:30 PM,37.409
817,02/01/19 06:56:30 PM,37.4746
819,02/01/19 06:57:30 PM,0.028999999999999998
821,02/01/19 06:58:30 PM,0.028999999999999998
823,02/01/19 06:59:30 PM,0.028999999999999998
825,02/01/19 07:00:30 PM,0.028999999999999998
827,02/01/19 07:01:30 PM,0.028999999999999998
829,02/01/19 07:02:30 PM,0.0275
831,02/01/19 07:03:30 PM,0.028999999999999998
833,02/01/19 07:04:30 PM,0.028999999999999998
835,02/01/19 07:05:30 PM,0.028999999999999998
837,02/01/19 07:06:30 PM,38.9227
839,02/01/19 07:07:30 PM,38.1079
841,02/01/19 07:08:30 PM,37.5875
843,02/01/19 07:09:30 PM,37.4075
845,02/01/19 07:10:30 PM,37.6623
847,02/01/19 07:11:30 PM,37.6852
849,02/01/19 07:12:30 PM,37.5128
851,02/01/19 07:13:30 PM,37.734
853,02/01/19 07:14:30 PM,37.8164
855,02/01/19 07:15:30 PM,37.5998
857,02/01/19 07:16:30 PM,37.6242
859,02/01/19 07:17:30 PM,37.6349
861,02/01/19 07:18:30 PM,37.5433
863,02/01/19 07:19:30 PM,37.611999999999995
865,02/01/19 07:20:30 PM,37.5021
867,02/01/19 07:21:30 PM,37.5372
869,02/01/19 07:22:30 PM,37.3983
871,02/01/19 07:23:30 PM,37.5891
873,02/01/19 07:24:30 PM,37.6318
875,02/01/19 07:25:30 PM,37.4014
877,02/01/19 07:26:30 PM,37.5311
879,02/01/19 07:27:30 PM,37.5189
881,02/01/19 07:28:30 PM,37.6974
883,02/01/19 07:29:30 PM,37.4792
885,02/01/19 07:30:30 PM,37.5631
887,02/01/19 07:31:30 PM,37.4426
889,02/01/19 07:32:30 PM,37.4975
891,02/01/19 07:33:30 PM,37.4716
893,02/01/19 07:34:30 PM,37.3816
895,02/01/19 07:35:30 PM,37.4746
897,02/01/19 07:36:30 PM,37.3617
899,02/01/19 07:37:30 PM,37.6028
901,02/01/19 07:38:30 PM,37.5433
903,02/01/19 07:39:30 PM,37.5113
905,02/01/19 07:40:30 PM,37.583
907,02/01/19 07:41:30 PM,37.5051
909,02/01/19 07:42:30 PM,37.3846
911,02/01/19 07:43:30 PM,37.6394
913,02/01/19 07:44:30 PM,37.6455
915,02/01/19 07:45:30 PM,37.5082
917,02/01/19 07:46:30 PM,37.3846
919,02/01/19 07:47:30 PM,37.5723
921,02/01/19 07:48:30 PM,37.5021
923,02/01/19 07:49:30 PM,37.4792
925,02/01/19 07:50:30 PM,37.2137
927,02/01/19 07:51:30 PM,37.319
929,02/01/19 07:52:30 PM,37.5204
931,02/01/19 07:53:30 PM,37.5723
933,02/01/19 07:54:30 PM,37.5143
935,02/01/19 07:55:30 PM,37.5586
937,02/01/19 07:56:30 PM,37.5418
939,02/01/19 07:57:30 PM,0.0305
941,02/01/19 07:58:30 PM,0.028999999999999998
943,02/01/19 07:59:30 PM,0.028999999999999998
945,02/01/19 08:00:30 PM,0.028999999999999998
947,02/01/19 08:01:30 PM,0.028999999999999998
949,02/01/19 08:02:30 PM,0.028999999999999998
951,02/01/19 08:03:30 PM,0.028999999999999998
953,02/01/19 08:04:30 PM,0.028999999999999998
955,02/01/19 08:05:30 PM,0.028999999999999998
957,02/01/19 08:06:30 PM,37.1725
959,02/01/19 08:07:30 PM,39.4247
961,02/01/19 08:08:30 PM,37.2061
963,02/01/19 08:09:30 PM,37.5341
965,02/01/19 08:10:30 PM,37.5296
967,02/01/19 08:11:30 PM,37.5036
969,02/01/19 08:12:30 PM,37.4578
971,02/01/19 08:13:30 PM,37.5723
973,02/01/19 08:14:30 PM,37.5036
975,02/01/19 08:15:30 PM,37.6257
977,02/01/19 08:16:30 PM,37.6165
979,02/01/19 08:17:30 PM,37.5189
981,02/01/19 08:18:30 PM,37.4411
983,02/01/19 08:19:30 PM,37.4838
985,02/01/19 08:20:30 PM,37.4884
987,02/01/19 08:21:30 PM,37.464
989,02/01/19 08:22:30 PM,37.5357
991,02/01/19 08:23:30 PM,37.5067
993,02/01/19 08:24:30 PM,37.4807
995,02/01/19 08:25:30 PM,37.4716
997,02/01/19 08:26:30 PM,37.4243
999,02/01/19 08:27:30 PM,37.4975
1001,02/01/19 08:28:30 PM,37.4044
1003,02/01/19 08:29:30 PM,37.5586
1005,02/01/19 08:30:30 PM,37.556999999999995
1007,02/01/19 08:31:30 PM,37.4792
1009,02/01/19 08:32:30 PM,37.4853
1011,02/01/19 08:33:30 PM,37.4914
1013,02/01/19 08:34:30 PM,37.5341
1015,02/01/19 08:35:30 PM,37.5509
1017,02/01/19 08:36:30 PM,37.5265
1019,02/01/19 08:37:30 PM,37.6104
1021,02/01/19 08:38:30 PM,37.496
1023,02/01/19 08:39:30 PM,37.5372
1025,02/01/19 08:40:30 PM,37.4228
1027,02/01/19 08:41:30 PM,37.4502
1029,02/01/19 08:42:30 PM,37.5875
1031,02/01/19 08:43:30 PM,37.4838
1033,02/01/19 08:44:30 PM,37.4899
1035,02/01/19 08:45:30 PM,37.7325
1037,02/01/19 08:46:30 PM,37.496
1039,02/01/19 08:47:30 PM,37.5174
1041,02/01/19 08:48:30 PM,37.438
1043,02/01/19 08:49:30 PM,37.5326
1045,02/01/19 08:50:30 PM,37.3495
1047,02/01/19 08:51:30 PM,37.5235
1049,02/01/19 08:52:30 PM,37.4594
1051,02/01/19 08:53:30 PM,37.4914
1053,02/01/19 08:54:30 PM,37.4472
1055,02/01/19 08:55:30 PM,37.3068
1057,02/01/19 08:56:30 PM,37.0291
1059,02/01/19 08:57:30 PM,0.032
1061,02/01/19 08:58:30 PM,0.028999999999999998
1063,02/01/19 08:59:30 PM,0.028999999999999998
1065,02/01/19 09:00:30 PM,0.028999999999999998
1067,02/01/19 09:01:30 PM,0.028999999999999998
1069,02/01/19 09:02:30 PM,0.028999999999999998
1071,02/01/19 09:03:30 PM,0.028999999999999998
1073,02/01/19 09:04:30 PM,0.028999999999999998
1075,02/01/19 09:05:30 PM,0.028999999999999998
1077,02/01/19 09:06:30 PM,39.5941
1079,02/01/19 09:07:30 PM,39.6323
1081,02/01/19 09:08:30 PM,37.1801
1083,02/01/19 09:09:30 PM,37.3083
1085,02/01/19 09:10:30 PM,37.3526
1087,02/01/19 09:11:30 PM,37.5387
1089,02/01/19 09:12:30 PM,37.4548
1091,02/01/19 09:13:30 PM,37.3983
1093,02/01/19 09:14:30 PM,37.4823
1095,02/01/19 09:15:30 PM,37.2885
1097,02/01/19 09:16:30 PM,37.2656
1099,02/01/19 09:17:30 PM,37.3907
1101,02/01/19 09:18:30 PM,37.3877
1103,02/01/19 09:19:30 PM,37.348
1105,02/01/19 09:20:30 PM,37.2427
1107,02/01/19 09:21:30 PM,37.2839
1109,02/01/19 09:22:30 PM,37.2976
1111,02/01/19 09:23:30 PM,37.4105
1113,02/01/19 09:24:30 PM,37.3495
1115,02/01/19 09:25:30 PM,37.4441
1117,02/01/19 09:26:30 PM,37.2168
1119,02/01/19 09:27:30 PM,37.1405
1121,02/01/19 09:28:30 PM,37.4304
1123,02/01/19 09:29:30 PM,37.5235
1125,02/01/19 09:30:30 PM,37.376999999999995
1127,02/01/19 09:31:30 PM,37.438
1129,02/01/19 09:32:30 PM,37.4395
1131,02/01/19 09:33:30 PM,37.3877
1133,02/01/19 09:34:30 PM,37.4014
1135,02/01/19 09:35:30 PM,37.4731
1137,02/01/19 09:36:30 PM,37.2747
